geographic_area,city,median_income,percent_completed_hs,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic,count
FL,Panama City Beach,54406.0,92.9,7.8,89.5,2.3,0.6,2.7,5.8,1
FL,Pensacola,45527.0,91.7,15.7,66.3,28.0,0.6,2.0,3.3,1
FL,Pinellas Park,41494.0,86.4,14.5,81.7,4.7,0.3,7.3,10.7,1
FL,Plantation,66647.0,93.3,10.7,69.9,20.3,0.2,3.9,20.4,1
FL,Plantation,60819.0,96.3,4.9,98.2,0.6,0.1,0.7,1.5,1
FL,Plant City,45083.0,81.0,17.0,69.5,15.1,0.6,1.4,28.8,1
FL,Pompano Beach,41321.0,82.8,23.4,62.6,28.9,0.3,1.3,17.5,2
FL,Port St. Lucie,49813.0,87.2,15.0,74.3,16.3,0.4,2.0,18.4,2
FL,Riverview,66497.0,91.9,9.5,70.2,17.0,0.4,3.1,21.0,2
FL,St. Augustine,42958.0,88.9,22.2,84.2,11.6,0.4,1.2,5.1,2
FL,St. Petersburg,45748.0,89.5,17.2,68.7,23.9,0.3,3.2,6.6,2
FL,Sneads,31607.0,79.0,30.3,78.0,18.5,0.2,0.4,2.7,1
FL,Tallahassee,39681.0,92.5,29.7,57.4,35.0,0.2,3.7,6.3,2
FL,Tampa,44185.0,86.6,21.8,62.9,26.2,0.4,3.4,23.1,5
FL,Thonotosassa,41739.0,83.6,21.5,76.7,15.6,0.5,1.7,11.8,1
FL,Titusville,40830.0,90.2,18.8,80.8,13.5,0.5,1.4,6.5,1
FL,Vero Beach,39182.0,89.2,19.9,87.5,4.8,0.3,1.8,10.7,1
FL,Wellington,81047.0,94.7,8.2,80.0,10.4,0.2,3.8,19.4,1
FL,West Palm Beach,45800.0,84.4,20.0,56.7,32.5,0.5,2.3,22.6,1
FL,Yulee,54419.0,87.6,11.5,90.5,5.6,0.4,0.9,3.1,1
GA,Acworth,53080.0,90.7,9.6,62.5,25.6,0.3,3.5,12.4,1
GA,Albany,29676.0,79.9,33.8,25.2,71.6,0.2,0.8,2.1,1
GA,Arlington,21429.0,71.2,37.5,21.7,76.1,0.2,0.0,1.6,1
GA,Atlanta,47527.0,89.0,24.6,38.4,54.0,0.2,3.1,5.2,7
GA,Austell,47378.0,84.2,17.2,33.0,55.4,0.2,1.5,11.9,1
GA,Brooklet,55185.0,93.2,10.5,85.1,11.5,0.4,0.3,1.6,1
GA,Carrollton,34055.0,78.3,28.7,58.4,31.9,0.4,1.4,10.8,1
GA,Cartersville,47611.0,81.2,14.9,70.8,18.5,0.4,1.0,12.7,2
GA,Cedartown,26897.0,62.5,31.0,56.5,18.8,0.5,1.0,31.0,1
GA,Clarkesville,38558.0,88.2,17.8,90.3,4.8,0.2,1.1,5.5,1
GA,Cochran,30273.0,75.1,38.1,48.2,48.5,0.1,1.6,1.8,1
GA,Commerce,40767.0,76.1,23.2,79.1,13.5,0.4,1.1,7.7,1
GA,Covington,36678.0,77.8,25.1,46.8,47.4,0.2,0.7,5.5,1
GA,Cumming,43491.0,81.1,20.7,76.6,2.9,0.5,1.4,31.4,1
GA,Decatur,81970.0,95.4,14.9,73.5,20.2,0.2,2.9,3.2,1
GA,Douglas,31465.0,78.0,25.8,41.6,52.0,0.2,0.9,6.3,1
GA,Douglasville,47707.0,88.7,19.1,36.0,55.9,0.2,1.8,7.2,1
GA,East Point,37049.0,84.7,27.9,16.1,74.6,0.4,0.8,11.5,2
GA,Elberton,25763.0,74.4,32.9,50.7,44.4,0.3,1.0,5.8,1
GA,Fort Valley,20962.0,74.1,45.2,13.6,81.6,0.2,0.3,5.8,1
GA,Gainesville,40706.0,71.2,28.3,54.2,15.2,0.6,3.2,41.6,1
GA,Hampton,43838.0,80.9,32.4,52.7,39.0,0.2,0.8,8.6,1
GA,Jackson,34846.0,72.8,22.8,55.3,40.9,0.2,0.5,2.9,1
GA,Jesup,32188.0,84.0,31.6,53.1,40.1,0.6,0.9,9.2,1
GA,Lawrenceville,41743.0,81.3,24.4,48.0,32.0,0.6,5.7,22.3,1
GA,Loganville,57045.0,87.4,9.2,70.0,22.1,0.3,2.3,6.8,1
GA,Ludowici,37250.0,82.3,14.9,61.8,32.0,0.6,0.5,3.9,1
GA,Lumpkin,24659.0,75.2,36.3,15.4,33.2,0.2,1.0,51.1,1
GA,Mableton,54919.0,84.1,17.6,45.6,39.5,0.7,2.2,18.5,1
GA,Marietta,44953.0,86.3,20.2,52.7,31.5,0.5,3.0,20.6,2
GA,Moultrie,25181.0,72.3,36.0,42.6,49.5,0.3,0.7,10.2,1
GA,Newnan,50052.0,87.5,22.6,58.9,30.2,0.3,2.6,11.0,1
GA,Peachtree City,85420.0,95.5,7.5,82.3,7.4,0.3,5.3,7.1,1
GA,Port Wentworth,61643.0,92.1,4.8,61.1,31.4,0.2,1.7,8.2,1
GA,Powder Springs,55528.0,88.1,18.7,41.6,49.9,0.2,1.1,9.1,1
GA,Riverdale,34158.0,85.6,29.5,8.0,80.0,0.3,6.8,6.0,1
GA,Rossville,32182.0,68.1,34.3,88.1,8.0,0.3,0.4,2.8,2
GA,Savannah,36466.0,86.0,26.5,38.3,55.4,0.3,2.0,4.7,1
GA,Smyrna,62363.0,90.5,13.4,53.8,31.6,0.4,4.9,14.9,1
GA,Stockbridge,54283.0,87.7,15.4,28.8,55.7,0.3,7.6,9.5,2
GA,Stone Mountain,36729.0,86.6,20.9,16.8,75.2,0.4,3.3,5.3,1
GA,Sylvester,28414.0,74.0,28.7,38.5,59.6,0.0,0.6,1.1,1
GA,Talking Rock,42500.0,76.7,6.7,100.0,0.0,0.0,0.0,0.0,1
GA,Tyrone,82500.0,91.6,11.8,67.5,25.3,0.2,3.4,3.6,1
GA,Valdosta,29336.0,82.6,35.0,43.3,51.1,0.3,1.7,4.0,3
GA,White,35125.0,78.6,20.2,85.5,3.4,0.0,0.0,11.0,1
GA,Woodstock,68504.0,95.5,7.0,79.3,10.2,0.2,4.5,9.7,1
HI,Aiea,95428.0,93.8,5.9,15.0,0.7,0.1,57.7,6.2,1
HI,Hilo,53939.0,92.5,18.3,17.6,0.5,0.3,34.3,10.4,4
HI,Kahuku,74167.0,86.9,15.3,8.6,0.4,0.1,25.3,6.7,1
HI,Keaau,51429.0,85.1,13.5,12.4,0.2,0.2,52.0,8.7,1
ID,Council,35750.0,82.7,15.4,96.5,0.1,0.7,0.2,3.0,1
ID,Garden City,38086.0,90.0,19.1,86.2,1.0,1.1,1.4,13.8,1
ID,Homedale,24474.0,66.6,47.7,63.1,0.2,1.3,1.0,43.0,1
ID,Idaho Falls,44580.0,90.2,15.9,89.3,0.7,1.0,1.0,12.9,1
ID,Kuna,57417.0,92.9,13.2,91.2,0.6,0.8,0.7,8.6,1
ID,Melba,41154.0,90.4,16.4,78.9,0.2,0.0,0.2,24.6,1
ID,Middleton,45391.0,91.7,13.5,92.5,0.3,0.6,0.5,10.0,1
ID,Mountain Home,46739.0,88.6,18.0,83.2,3.3,1.0,2.9,11.9,1
ID,Rexburg,25372.0,97.8,46.1,93.8,0.6,0.2,1.2,5.6,1
ID,Sandpoint,31979.0,88.3,24.3,95.5,0.1,0.7,0.8,2.9,1
IL,Alton,36250.0,90.3,24.4,68.5,26.6,0.2,0.5,1.9,1
IL,Antioch,76012.0,95.1,9.1,88.8,3.1,0.2,3.7,8.5,1
IL,Arcola,49303.0,82.6,14.8,85.6,0.3,0.2,0.9,29.8,1
IL,Belleville,43318.0,92.6,18.2,69.8,25.4,0.3,1.0,2.6,2
IL,Benton,36770.0,84.1,23.4,97.3,0.4,0.3,0.3,1.2,1
IL,Chicago,48522.0,82.3,22.3,45.0,32.9,0.5,5.5,28.9,25
IL,Clinton,44490.0,88.7,16.9,95.5,0.9,0.2,0.4,3.1,1
IL,Deerfield,137423.0,98.4,2.9,94.0,0.5,0.1,3.6,2.8,1
IL,Dolton,45346.0,86.8,24.8,6.2,90.9,0.1,0.3,2.7,1
IL,East St. Louis,19520.0,81.1,45.8,0.9,98.0,0.1,0.1,0.5,1
IL,Forest Park,51927.0,92.5,9.9,55.2,32.3,0.3,6.0,9.9,1
IL,Harvey,22014.0,78.1,36.4,10.0,75.8,0.3,0.9,19.0,1
IL,Hurst,30000.0,80.8,15.7,97.1,0.8,0.1,0.0,0.8,1
IL,Jerseyville,50232.0,90.6,6.4,97.4,0.2,0.2,0.5,1.1,1
IL,Lansing,48949.0,89.5,14.6,58.9,31.6,0.2,0.9,14.5,1
IL,Lisle,75373.0,95.5,8.6,77.7,5.6,0.1,11.9,7.5,1
